A,B,C,posemo,anx,anger,sad,affiliation
577284fcedc2cb3880ffab74,the-lovers-1974.jpg,"['happiness  love', 'love', 'happiness  love', 'love  disgust', 'love', 'love', 'love  shame  surprise', 'surprise', 'love', 'happiness', 'happiness  love', 'love', 'happiness  love', 'love  disgust', 'love', 'happiness  love', 'love  arrogance  anticipation', 'optimism', 'love', 'happiness']",74.29,2.86,0,0,51.61
57727ffdedc2cb3880efd959,rendez-vous-of-lovers-1902.jpg,"['humility', 'optimism', 'love  optimism', 'love  anticipation', 'happiness', 'happiness  love  optimism', 'love', 'happiness  love', 'love', 'love', 'happiness  love', 'love', 'humility  love', 'optimism', 'happiness  love', 'love', 'happiness', 'happiness  love  optimism', 'love', 'happiness  love', 'love', 'happiness  love', 'happiness  love', 'love']",82.93,0,0,0,51.35
59c4b298edc2c9a67c79b7fa,atocha-1964.jpg,"['love', 'happiness  love', 'love', 'love  fear  sadness', 'happiness  love', 'humility  love', 'trust  happiness  love  arrogance  agreeableness', 'humility', 'love', 'love', 'love', 'happiness', 'love', 'love  sadness', 'happiness  love', 'happiness  love', 'love  arrogance', 'happiness', 'happiness  love', 'love']",64.29,2.38,0,4.76,50
577279cfedc2cb3880dc832f,girl-with-cat-ii-1912.jpg,"['love', 'happiness  love', 'happiness  love', 'happiness', 'love', 'love', 'happiness  love', 'happiness  love', 'love  fear', 'trust', 'happiness  love  optimism', 'happiness  love', 'happiness  love', 'humility', 'happiness  love', 'love', 'happiness  love', 'happiness  love', 'love  fear', 'trust  love']",81.58,5.26,0,0,50
57728337edc2cb3880fa1a57,madonna-litta-1490.jpg,"['happiness  love', 'trust  love', 'love', 'love', 'happiness  love', 'trust  happiness  love', 'love', 'happiness  love  optimism', 'gratitude  love', 'humility  happiness  love', 'happiness  love', 'happiness  love', 'happiness', 'love', 'happiness  love  optimism', 'trust  humility  love', 'trust  love', 'love', 'gratitude  love', 'humility  happiness  love']",82.22,0,0,0,47.5
57727593edc2cb3880ceb255,in-bed-the-kiss-1892.jpg,"['happiness  love', 'happiness  love', 'love', 'happiness  love', 'humility  happiness  love', 'happiness  love', 'love', 'happiness  love', 'happiness  love', 'gratitude  happiness  love', 'happiness  love', 'happiness  love', 'love', 'love', 'trust  humility  love  optimism  anticipation', 'humility  happiness', 'love', 'happiness  love', 'happiness  love', 'humility  happiness  love']",80,0,0,0,46.34
577287daedc2cb3880089637,the-kiss-1976.jpg,"['love', 'love', 'happiness  love', 'love', 'humility', 'love', 'trust  gratitude  love  arrogance  regret  anticipation  surprise', 'love', 'love', 'love', 'love', 'happiness  love  optimism', 'happiness  love', 'love', 'humility', 'love', 'trust  love  regret  shame  anticipation  surprise', 'happiness  love  agreeableness', 'happiness  love', 'happiness  love']",73.81,2.38,0,4.76,46.15
59ae5f58edc2c9cdd89440c1,quentin-metsys-madonna-col-bambino-1510-25-ca-01.JPG,"['love', 'love', 'trust  love  optimism', 'love', 'happiness  love', 'happiness  love', 'trust  love', 'trust  happiness  love  sadness', 'happiness  love', 'happiness  love', 'humility  happiness  love  optimism', 'love', 'love', 'trust  love  optimism', 'love', 'humility  happiness  love', 'happiness  love', 'trust  love', 'happiness  love  sadness', 'happiness  love', 'happiness  love', 'humility  happiness  love  optimism  anticipation']",76.79,0,0,3.57,44.9
577287deedc2cb3880089e06,eine-art-nebeneinander-1996.jpg,"['love', 'gratitude  humility  happiness  love  agreeableness', 'love', 'love', 'love', 'disgust', 'love', 'happiness  love', 'surprise', 'anticipation  surprise', 'love', 'trust  humility  love', 'love', 'disgust', 'love', 'disgust', 'love', 'happiness  love', 'surprise', 'surprise']",69.7,0,0,0,44.83
577288a5edc2cb38800b2ed2,reconciliation-1887.jpg,"['trust  gratitude  love  agreeableness', 'happiness  love  optimism', 'happiness  love  agreeableness', 'happiness  love', 'happiness  love', 'happiness  love', 'happiness  love', 'love', 'love', 'trust  love', 'trust  gratitude  love  agreeableness', 'happiness  love  optimism', 'trust  gratitude  humility  happiness  love', 'love', 'love  sadness', 'happiness  love  optimism', 'happiness  love', 'love', 'love', 'trust  love']",84.62,0,0,1.92,43.48
