B,posemo,anx,anger,sad,affiliation
051l12102-6m7vs-reshot.jpg,41.03,0,0,20.51,0
1-august-1948-1948.jpg,27.82,13.31,2.02,26.61,1.64
1.jpg,44.12,8.82,5.88,14.71,0
1.jpg,5.71,11.43,0,62.86,3.23
11.jpg,70.73,0,0,0,0
12-1956.jpg,52.94,5.88,2.94,2.94,3.45
14-1965.jpg,40.62,6.25,3.12,0,7.14
15-febr-62-1962.jpg,39.13,4.35,0,10.87,0
15-octobre-1966.jpg,51.52,3.03,0,0,3.33
17-3-69-1969.jpg,50,0,0,0,0
17dr-1965.jpg,61.29,0,0,0,7.69
18-1963-1963.jpg,40.38,11.54,5.77,5.77,4.17
18-compositie-opus-1-1913.jpg,29.55,15.91,2.27,15.91,2.5
18-f-vrier-1968.jpg,51.85,3.7,0,0,0
18-l-1965.jpg,47.06,2.94,0,5.88,0
1804-koch-der-tod-des-oskar-anagoria.JPG,8.33,20.83,12.5,33.33,0
1814-campagne-de-france-napoleon-and-his-staff-returning-from-soissons-after-the-battle-of-laon-1864.jpg,60.98,0,4.88,0,0
1814-koch-noahs-dankopfer-anagoria.JPG,58.7,4.35,0,0,7.5
1833-koch-serpentaralandschaft-anagoria.JPG,67.21,1.09,0,2.19,3.93
1869-1875.jpg,59.52,0,0,0,0
1874-2.jpg,41.03,5.13,0,17.95,0
1874(1).jpg,53.66,0,0,0,0
1924-first-abstract-painting-chelsea-1924.jpg,44.44,5.56,0,0,0
1932-painting-1932.jpg,55,2.5,5,2.5,0
1944-n-no-1-1944.jpg,16.22,29.73,5.41,29.73,0
1950-k-no-1-1950.jpg,50,2.78,2.78,0,0
1952-a-1952.jpg,13.95,9.3,0,53.49,0
1957-d-no-1-1957(1).jpg,28.89,20,8.89,13.33,0
1991-8.jpg,6.52,30.43,13.04,21.74,0
1993-1994.jpg,21.95,14.63,0,14.63,0
1999-1.jpg,48.84,14.73,0.39,13.95,2.39
2.jpg,78.54,0.91,0.46,1.83,5.63
211.jpg,15,32.5,0,22.5,0
24-colors-for-blinky-1977.jpg,75,0,0,0,0
27-october-1949-1949.jpg,54.55,6.82,0,2.27,0
28-5-66-1966.jpg,65,0,0,0,5.71
29-6-61-t-1961.jpg,40.43,4.26,6.38,6.38,0
3-2.jpg,18.87,22.64,0,26.42,0
3-inch-high-33-foot-long-epoxy-paint-band-1968.jpg,31.11,13.33,4.44,8.89,2.44
32-rectangles-1953.jpg,50,0,3.33,0,0
4-avril-1979.jpg,9.09,29.55,0,36.36,0
4-series-of-67-1967.jpg,29.41,7.84,0,23.53,0
4531-728230.jpg,35.42,8.33,2.08,12.5,0
467-67-1967.jpg,46.3,1.85,3.7,1.85,18
586-69-gerundetes-rot-1969.jpg,59.38,0,0,0,3.57
59-140-130-a-1959.jpg,35.56,4.44,8.89,11.11,2.5
60-t-18-1960.jpg,32.08,3.77,3.77,16.98,2.08
62-5-1962.jpg,35.48,0,0,0,0
621-71-1971.jpg,47.06,5.88,0,0,0
